job_title,job_categories,career_level,experience_year,salary,employment_type,job_responsibilities,job_qualifications,job_description,min_salary,max_salary,high_comission,negotiable,experience_fill
Purchasing Manager,"[('merchandising-purchasing', 'procurement-purchasing-sourcing')]",,,Salary provided,Permanent,"['Job Summary:Developing and implementing purchasing strategies.Managing daily purchasing activities, supervising staff, and allocating tasks.Managing supplier relations and negotiating contracts, prices, timelines, etc.Maintaining the supplier database, purchase records, and related documentation.Coordinating with inventory control to determine and manage inventory needs.Managing the maintenance of equipment and materials.Preparing cost estimates and managing budgets.Working to improve purchasing systems and processes.']",[':Bachelor’s degree in business administration or a related field.At least 5 years of experience in purchasing or related field.Proficiency in Microsoft Office and purchasing software.Having knowledge of ISO 9001:2015.Experience backgroundin textile business is preferred.Able to communicate in English both writing and speaking.Strong critical thinking and negotiation skills.Strong planning and organizational skills. '],"Job Summary:Developing and implementing purchasing strategies.Managing daily purchasing activities, supervising staff, and allocating tasks.Managing supplier relations and negotiating contracts, prices, timelines, etc.Maintaining the supplier database, purchase records, and related documentation.Coordinating with inventory control to determine and manage inventory needs.Managing the maintenance of equipment and materials.Preparing cost estimates and managing budgets.Working to improve purchasing systems and processes.Qualification:Bachelor’s degree in business administration or a related field.At least 5 years of experience in purchasing or related field.Proficiency in Microsoft Office and purchasing software.Having knowledge of ISO 9001:2015.Experience backgroundin textile business is preferred.Able to communicate in English both writing and speaking.Strong critical thinking and negotiation skills.Strong planning and organizational skills.",,,False,False,5 year
,[],,,,,[],[],,,,,,
"Senior Officer, Retail Strategy","[('design', 'visual-merchandising'), ('marketing-public-relations', 'management'), ('merchandising-purchasing', 'merchandising-others')]",,,Salary provided,Full Time,"['Job DescriptionPlan for Assortment/ Stock Keeping Unit (SKU) in order to make profitability by increasing the volume of products that are sold and by improving the speed of inventory turnover in the category Manage SKU life cycle from adoption to deleteDevelop metrics, data, and reporting for measuring space productivityPlan the stores operation strategy in relation to the product and marketing strategies and oversee the in-store strategies based on regional retail strategy.Create a guide for differentiated in-store display based on the store management strategy, and oversee to ensure that the guideline is localized in a timely and accurate manner. Optimize SKU (Stock Keeping Unit) by premium, setup and mass product by using retail mapping and considering store sales characteristics to differentiate premium/setup/entry products. Store inventory management (stock out, obsolete inventory management) Optimize SKU (Stock Keeping Unit)']","['sMinimum 5 years’ experience in Retail Marketing or Retail Excellence & at least 3 years’ experiencewith specialty retailer highly preferred Merchandising experience with good analysis skill (knowledge of fashion “product”)Experience working in a corporate visual environmentPlan, organize, and prioritize multiple complex assignments and projectsStrong computer skills with proficiency in MS Office; knowledge of graphic design programsAbility to focus on overall strategy of each business unit along with excellent attention to detailsAble to work under time line, stress and able to cope with Multi-function tasksProven track record leading retail design, operation and project managementExcellent of both spoken and written English and computer literateExcellent communication skill ']","Job DescriptionPlan for Assortment/ Stock Keeping Unit (SKU) in order to make profitability by increasing the volume of products that are sold and by improving the speed of inventory turnover in the category Manage SKU life cycle from adoption to deleteDevelop metrics, data, and reporting for measuring space productivityPlan the stores operation strategy in relation to the product and marketing strategies and oversee the in-store strategies based on regional retail strategy.Create a guide for differentiated in-store display based on the store management strategy, and oversee to ensure that the guideline is localized in a timely and accurate manner. Optimize SKU (Stock Keeping Unit) by premium, setup and mass product by using retail mapping and considering store sales characteristics to differentiate premium/setup/entry products. Store inventory management (stock out, obsolete inventory management) Optimize SKU (Stock Keeping Unit)QualificationsMinimum 5 years’ experience in Retail Marketing or Retail Excellence & at least 3 years’ experiencewith specialty retailer highly preferred Merchandising experience with good analysis skill (knowledge of fashion “product”)Experience working in a corporate visual environmentPlan, organize, and prioritize multiple complex assignments and projectsStrong computer skills with proficiency in MS Office; knowledge of graphic design programsAbility to focus on overall strategy of each business unit along with excellent attention to detailsAble to work under time line, stress and able to cope with Multi-function tasksProven track record leading retail design, operation and project managementExcellent of both spoken and written English and computer literateExcellent communication skill",,,False,False,5 years’ experience in Retail Marketing or Retail Excellence & at least 3 year
Supply Chain Manager (90K)/refrigeration or stainless steel fabrication product,"[('transportation-logistics', 'supply-chain'), ('manufacturing', 'manufacturing-management'), ('merchandising-purchasing', 'procurement-purchasing-sourcing')]",,,Salary negotiable,"Full Time, Permanent",[],[],"Key Tasks and ResponsibilitiesDevelop Sourcing Strategies with APAC team Leading of GMO Saving (Product Cost Reduction) both of Direct and Indirect Material to meet company’s target.Responsible for Category Performance in Terms of Quality, Cost, Delivery and ServiceDriving Material Planning to Improve Material Availability and Inventory LevelImprove Supplier DPO (Day Payable Outstanding)Manage Vendor Relationships and Assist in Building Effective PartnershipsTrack Cost Trends of Key Materials, to Properly Control Purchasing CostsCost Analysis for Make vs Buy strategies to gain cost effectivenessInventory reduction: Consignment, VMI, Outsourcing, SKU Reduction, Right sizing, Material aging reviewReduce Manufacturing Lead-Time and Inventory through Value Steam MappingControl Packing and Logistics for cost effectivenessMaterial Risk ManagementProvide Material/Component Innovation’ to Product Development TeamSpecialized SkillsAbility to solve problems and make things happenProficient in Microsoft Excel, PowerPoint and WordEnglish is required, additional languages are a plus. Safety Supervisor LevelTeamwork , Leadership DevelopmentThinking Skill , Adjustment by Defense MechanismsEQ Management for ExcellenceOpen to relocateInterested? Please submit your CV, the shortlisted ones will be contacted.For more information please contact (Khun Mallika - 099 398 6865)",,,False,True,
Material Project Planner (3 months Contract) Salary 55K - 65K Location Sun Tower Building,"[('merchandising-purchasing', 'procurement-purchasing-sourcing')]",,,Salary provided,Contract,"['Job Description:Supporting the Customer Project Manager with specialist knowledge in the area of project planning and scheduling, trend analysis, critical path identification, backwards scheduling,Focusing on material planning and dealing with suppliers to ensure that material delivery is aligned with the roll-out plan.Minimizing project inventory and stock aging. Determining the required materials and generating purchase orders. Ensuring materials meet specifications, quality standards, and are cost-efficient.Coordinating with other departments regarding production goals, timelines, supplier payments, etc.']","['s:Degree in business, logistics, inventory management, or a related field preferred.3+ years of experience in material planning, inventory management, purchasing, or a related position.Strong organizational and time management skills. Good communication skills, both verbal and written in English (TOEIC 600+)  ']","Job Description:Supporting the Customer Project Manager with specialist knowledge in the area of project planning and scheduling, trend analysis, critical path identification, backwards scheduling,Focusing on material planning and dealing with suppliers to ensure that material delivery is aligned with the roll-out plan.Minimizing project inventory and stock aging. Determining the required materials and generating purchase orders. Ensuring materials meet specifications, quality standards, and are cost-efficient.Coordinating with other departments regarding production goals, timelines, supplier payments, etc.Qualifications:Degree in business, logistics, inventory management, or a related field preferred.3+ years of experience in material planning, inventory management, purchasing, or a related position.Strong organizational and time management skills. Good communication skills, both verbal and written in English (TOEIC 600+)",,,False,False,3+ year
Japanese Speaking Cost Planning Senior Staff (N3) / 35k-50k + High Bonus / BTS Line,"[('manufacturing', 'production-planning-control'), ('merchandising-purchasing', 'industrial'), ('professional-services', 'translation')]",,,Salary provided,"Full Time, Permanent","['Our customer, a Japanese company is Automotive Part company which seeking for Cost Planning staff to support pricing and costing company product by coordinate with HQ in Japan.Position: Japanese Speaking Cost Planning Senior staffIndustry: Automotive PartTotal Package: 35,000 – 50,000 Baht + High BonusWorking location: Onnuch RoadWorking Hours: Monday -Friday, 08:00 AM. - 17:00 PM./ Sat calendarJob Description:Create cost quotation for company product as main person in charge.Perform cost planning for new product under development period until mass product.Co-operate with Japan HQ and other departments.Organize and maintain cost planning document in a systematic manner']","["":Male/Female, Age 26 - 32 years old.Bachelor degree or higher in any related field. Open for Fresh Graduated.Have 3-5 years' experience in Cost Planning, Purchasing or any related field.Good computer literacy especially in MS.ExcelGood command in Japanese (N3-N2) and English language (TOEIC: 550)Benefits:High BonusAnnual IncrementMedical ClaimProvident FundYearly activities such Medical Check up, New Year Party, Etc.Buy car from supplier priceIf interested, Please contact Khun Nack, Tel: 02-261-1270 ""]","Our customer, a Japanese company is Automotive Part company which seeking for Cost Planning staff to support pricing and costing company product by coordinate with HQ in Japan.Position: Japanese Speaking Cost Planning Senior staffIndustry: Automotive PartTotal Package: 35,000 – 50,000 Baht + High BonusWorking location: Onnuch RoadWorking Hours: Monday -Friday, 08:00 AM. - 17:00 PM./ Sat calendarJob Description:Create cost quotation for company product as main person in charge.Perform cost planning for new product under development period until mass product.Co-operate with Japan HQ and other departments.Organize and maintain cost planning document in a systematic mannerQualification:Male/Female, Age 26 - 32 years old.Bachelor degree or higher in any related field. Open for Fresh Graduated.Have 3-5 years' experience in Cost Planning, Purchasing or any related field.Good computer literacy especially in MS.ExcelGood command in Japanese (N3-N2) and English language (TOEIC: 550)Benefits:High BonusAnnual IncrementMedical ClaimProvident FundYearly activities such Medical Check up, New Year Party, Etc.Buy car from supplier priceIf interested, Please contact Khun Nack, Tel: 02-261-1270",,,False,False,"35,000 – 50,000 Baht + High BonusWorking location: Onnuch RoadWorking Hours: Monday -Friday, 08:00 AM. - 17:00 PM./ Sat calendarJob Description:Create cost quotation for company product as main person in charge.Perform cost planning for new product under development period until mass product.Co-operate with Japan HQ and other departments.Organize and maintain cost planning document in a systematic mannerQualification:Male/Female, Age 26 - 32 years old.Bachelor degree or higher in any related field. Open for Fresh Graduated.Have 3-5 year"
"Procurement Staff/ JLPT N2/ 45,000THB","[('merchandising-purchasing', 'procurement-purchasing-sourcing')]",,,Salary provided,Full Time,['Job description:Contact Headquarter in order to procurement process. Summarize data and create monthly report Coordinate with Japanese supplier to order related material. Create purchase order in system Follow up delivery order within the given date '],"[':Bachelor’s degree in any major At least 3 years of experience as Purchasing or Procurement or Sales Support or Production Control in manufacturing.Has basic knowledge about QMS & KAIZEN Good command of Japanese in speaking, reading and written (JLPT N2 or upper) Good command of English with TOEIC 550+  ']","Job description:Contact Headquarter in order to procurement process. Summarize data and create monthly report Coordinate with Japanese supplier to order related material. Create purchase order in system Follow up delivery order within the given date Qualification:Bachelor’s degree in any major At least 3 years of experience as Purchasing or Procurement or Sales Support or Production Control in manufacturing.Has basic knowledge about QMS & KAIZEN Good command of Japanese in speaking, reading and written (JLPT N2 or upper) Good command of English with TOEIC 550+",,,False,False,3 year
Chinese Translator (25K-35K),"[('professional-services', 'translation')]",,,Salary provided,Full Time,['Key Responsibility:Translate and review entertainment content from traditional/simplified Chinese to Thai and from Thai to Chinese.Monitor and upload content in systemProvide information and coordinate with Marketing TeamOther tasks as assigned.'],"[':Bachelor’s or higher degree, major in Chinese or related fieldAt least 1-2 years of translation experience; focusing entertainment contentsFluent in Thai and Chinese (HSK level 5-6)Possessfast learner, creative, enthusiastic, flexible and positivepersonality with multitasking, communication and time management skillsAble to work under deadline and pressureBenefits:Attractive benefitsFor more information, please contactK.Panyadaat: Tel: 021213511ADECCO RECRUITMENT (THAILAND) LIMITED388 S.P. Building, 11thFloor Zone APhaholyothin Road, Samsennai, PhayathaiBangkok, Thailand 10400Office+66 2121 3555Fax+66 2121 3543 ']","Key Responsibility:Translate and review entertainment content from traditional/simplified Chinese to Thai and from Thai to Chinese.Monitor and upload content in systemProvide information and coordinate with Marketing TeamOther tasks as assigned.Qualification:Bachelor’s or higher degree, major in Chinese or related fieldAt least 1-2 years of translation experience; focusing entertainment contentsFluent in Thai and Chinese (HSK level 5-6)Possessfast learner, creative, enthusiastic, flexible and positivepersonality with multitasking, communication and time management skillsAble to work under deadline and pressureBenefits:Attractive benefitsFor more information, please contactK.Panyadaat: Tel: 021213511ADECCO RECRUITMENT (THAILAND) LIMITED388 S.P. Building, 11thFloor Zone APhaholyothin Road, Samsennai, PhayathaiBangkok, Thailand 10400Office+66 2121 3555Fax+66 2121 3543",,,False,False,1-2 year
International Performance Management Specialist,"[('professional-services', 'business-analysis-data-analysis'), ('sales-cs-business-devpt', 'business-development'), ('insurance', 'others')]",,,Salary negotiable,Permanent,"[""ResponsibilitiesSet up key indicators to monitor company performance including financial and non-financial impact indicators, monitor those key indicators, and alert to management/Local term for any significant deviation. Excom/BoD presentation for JV performance and Financial positionMonitor the market movement, product trend, customer need and Conduct in-depth analysis on competitive landscape.Set up the Reforecasting and Business plan timeline and basic review/evaluate the existing JV’s Business plan before submission to Company Ex-com and BoardsCo-develop overseas JV’s strategy and Business Plans with JV’s management to support growth of JV’s and profitability of JV’s and CompanyTo support the variety of project requirement from JVs.Coordinate with Company's executive for an expert support e.g. Agency, HR, Investment and Actuarial.""]","['sMaster degree in Business Management, Marketing, Finance, Economic, Actuarial or any related fieldsAt least 3 years of experience in Strategic Planning or Business Development areaWorking experience in Insurance or Banking business is preferableBased in Thailand but have to travel to responsible countryregularlySkills in Analytic thinking , and Attention to detailsCan work under pressure and deal with ambiguityProactive and Self-motivated, Responsible and strong Integrity and Good interpersonal skillGood in English writing, communication and reporting skills ']","ResponsibilitiesSet up key indicators to monitor company performance including financial and non-financial impact indicators, monitor those key indicators, and alert to management/Local term for any significant deviation. Excom/BoD presentation for JV performance and Financial positionMonitor the market movement, product trend, customer need and Conduct in-depth analysis on competitive landscape.Set up the Reforecasting and Business plan timeline and basic review/evaluate the existing JV’s Business plan before submission to Company Ex-com and BoardsCo-develop overseas JV’s strategy and Business Plans with JV’s management to support growth of JV’s and profitability of JV’s and CompanyTo support the variety of project requirement from JVs.Coordinate with Company's executive for an expert support e.g. Agency, HR, Investment and Actuarial.QualificationsMaster degree in Business Management, Marketing, Finance, Economic, Actuarial or any related fieldsAt least 3 years of experience in Strategic Planning or Business Development areaWorking experience in Insurance or Banking business is preferableBased in Thailand but have to travel to responsible countryregularlySkills in Analytic thinking , and Attention to detailsCan work under pressure and deal with ambiguityProactive and Self-motivated, Responsible and strong Integrity and Good interpersonal skillGood in English writing, communication and reporting skills",,,False,True,3 year
"Japanese Speaking General Affair (N2) / 35k-60k / Bangphli, Samutprakarn / Electronics Parts","[('admin-hr', 'secretary-personal-assistant'), ('admin-hr', 'employee-relations'), ('professional-services', 'translation')]",,,Salary provided,"Full Time, Permanent","['Position: Japanese Speaking General Affair (N2)Industry: Electronics PartsTotal Package: 35,000 - 60,000 THBWorking location: Bang Phli, SamutprakarnWorking Hours: Monday - Friday, Alternate SaturdayJob Description:Manage employee-related activities and personnel programResponsible for Visa and Work Permit for Japanese employeesMonitoring the inventory of office supplies and responsible for those to be prepared properly.Prepare documents/report for Head QuarterSchedule management of the whole companyHandle other tasks as assigned by Japanese Manager']","[':Any Gender, Age 30 - 40 years old.Bachelor’s Degree in any related fieldMore than 2 year experience iin any related field. GA or Admin is preferGood command of Japanese (N2) and communicable in EnglishFlexible and able to work under pressure.Benefits:Annual salary incrementBonus Group Insurance (AIA)If interested, Please contact Khun Nack, Tel: 066-097-2935 ']","Position: Japanese Speaking General Affair (N2)Industry: Electronics PartsTotal Package: 35,000 - 60,000 THBWorking location: Bang Phli, SamutprakarnWorking Hours: Monday - Friday, Alternate SaturdayJob Description:Manage employee-related activities and personnel programResponsible for Visa and Work Permit for Japanese employeesMonitoring the inventory of office supplies and responsible for those to be prepared properly.Prepare documents/report for Head QuarterSchedule management of the whole companyHandle other tasks as assigned by Japanese ManagerQualification:Any Gender, Age 30 - 40 years old.Bachelor’s Degree in any related fieldMore than 2 year experience iin any related field. GA or Admin is preferGood command of Japanese (N2) and communicable in EnglishFlexible and able to work under pressure.Benefits:Annual salary incrementBonus Group Insurance (AIA)If interested, Please contact Khun Nack, Tel: 066-097-2935",,,False,False,"2)Industry: Electronics PartsTotal Package: 35,000 - 60,000 THBWorking location: Bang Phli, SamutprakarnWorking Hours: Monday - Friday, Alternate SaturdayJob Description:Manage employee-related activities and personnel programResponsible for Visa and Work Permit for Japanese employeesMonitoring the inventory of office supplies and responsible for those to be prepared properly.Prepare documents/report for Head QuarterSchedule management of the whole companyHandle other tasks as assigned by Japanese ManagerQualification:Any Gender, Age 30 - 40 years old.Bachelor’s Degree in any related fieldMore than 2 year"
Strategic Partnership Manager (New Business Development - Digital Business),"[('professional-services', 'business-analysis-data-analysis'), ('professional-services', 'business-consultancy'), ('sales-cs-business-devpt', 'business-development')]",,,Salary provided,Full Time,"['ResponsibilitiesProvide partnership strategy and business model according to company strategyIdentify business objectives and values that benefiting both partner and companyDevelop new connections to create opportunities for partnerships initiativesProvide a successful deal negotiationMaintain and cultivate a long-term partner relationshipsWork closely with cross-functional teams in a companyTrack, analyze and evaluate the performance of partnership efforts both with independent content creators and corporate']","['At least 3 years of business development / partnership roleClear understanding of customer and business model of the entertainment industryStrong strategic thinking and problem-solving skillsExcellent communication / presentation (Thai/Eng) skillsStrong leadership and management experience, with the ability to work independently and cross-functionally to drive multiple project.Good in team management ']","ResponsibilitiesProvide partnership strategy and business model according to company strategyIdentify business objectives and values that benefiting both partner and companyDevelop new connections to create opportunities for partnerships initiativesProvide a successful deal negotiationMaintain and cultivate a long-term partner relationshipsWork closely with cross-functional teams in a companyTrack, analyze and evaluate the performance of partnership efforts both with independent content creators and corporateQualificationAt least 3 years of business development / partnership roleClear understanding of customer and business model of the entertainment industryStrong strategic thinking and problem-solving skillsExcellent communication / presentation (Thai/Eng) skillsStrong leadership and management experience, with the ability to work independently and cross-functionally to drive multiple project.Good in team management",,,False,False,3 year
Company Secretary & Legal Counsel,"[('professional-services', 'legal-compliance')]",,,Salary provided,Full Time,[],[],"Job Responsibilities:Company SecretaryPrepare and keep the register of directors of the company, the notice-calling and minutes of the Board meeting and annual report of the company and the notice-calling and minutes of the Shareholders meeting Keep a report on conflicts of interest filed by directors and executives. To perform any function as specified by the securities lawAssure the Annual Report and all related forms i.e. 56-1, 56-2 and 56-3 are in legal compliance and requirement and prepare and lodge reports and filings to SEC, SET, MOC, etc. Perform duties as Corporate Company Secretary including organizing all Board meetings and AGMAdvisor to business: LegalDraft or review agreements, contracts, letters and other legal documents related to business operations of the company to support the business operation of the company and to avoid legal exposures and liabilities of the company Provide feedback, comments, and options or alternatives to internal customers and to inform management on legal and contractual obligations in dealing with legal matters and agreements Prepare the final draft of agreements/contracts after obtaining feedback from management and liaising with Regional Legal as necessary, ensure that final draft has been reviewed and approved by responsible management and Regional Legal, and obtain properly the authorized signatories for documents to be legally executed by the CompanyMaintain an effective filing system for the execution version of legalManaging the execution version of legal documents to keep the duly signed documents for the companyProviding constructive guidelines to management/associate to comply with laws and regulations in conjunction with commercial terms and Goodyear policiesActively participating in the Collaborative Bargaining Agreement and advising on labor matters in the company’s operationsLeading legal negotiation on the company’s contractual dispute with other legal parties representativeBusiness Advisor: Business permits and licenseMonitor the extension or renewal of business permits and licenses obtained from the local government agencies e.g. factory license, BOI certificate, water work purchasing, signboard tax, property tax, land tax, public health license, import license, etc. To ensure that the company has the rights to operate its business legallyProvide continuous legal advice and necessary support for the Thailand Board of InvestmentBusiness Advisor: Claims/DefenseAssist and represent the Company, in consultation with local legal Counsel and Regional Legal team, against claims made by third parties and enforce the rights of the Company against the third parties to protect the interest of the Company Job Requirements:At least with a Bachelor’s degree in Law and a master’s degree is a plusAt least 3 years of working experience in the field of legal affairsAt least 2 years of working experience with a Thai publicly-listed companyBusiness organization law, SET/SEC law, good governance, customs law, product liability law, labor law, taxation, BOI law, contract law, factories law, etc.Has to be a self-motivated individual who is independent and resourceful as this will be an individual contributor role",,,False,False,"56-1, 56-2 and 56-3 are in legal compliance and requirement and prepare and lodge reports and filings to SEC, SET, MOC, etc. Perform duties as Corporate Company Secretary including organizing all Board meetings and AGMAdvisor to business: LegalDraft or review agreements, contracts, letters and other legal documents related to business operations of the company to support the business operation of the company and to avoid legal exposures and liabilities of the company Provide feedback, comments, and options or alternatives to internal customers and to inform management on legal and contractual obligations in dealing with legal matters and agreements Prepare the final draft of agreements/contracts after obtaining feedback from management and liaising with Regional Legal as necessary, ensure that final draft has been reviewed and approved by responsible management and Regional Legal, and obtain properly the authorized signatories for documents to be legally executed by the CompanyMaintain an effective filing system for the execution version of legalManaging the execution version of legal documents to keep the duly signed documents for the companyProviding constructive guidelines to management/associate to comply with laws and regulations in conjunction with commercial terms and Goodyear policiesActively participating in the Collaborative Bargaining Agreement and advising on labor matters in the company’s operationsLeading legal negotiation on the company’s contractual dispute with other legal parties representativeBusiness Advisor: Business permits and licenseMonitor the extension or renewal of business permits and licenses obtained from the local government agencies e.g. factory license, BOI certificate, water work purchasing, signboard tax, property tax, land tax, public health license, import license, etc. To ensure that the company has the rights to operate its business legallyProvide continuous legal advice and necessary support for the Thailand Board of InvestmentBusiness Advisor: Claims/DefenseAssist and represent the Company, in consultation with local legal Counsel and Regional Legal team, against claims made by third parties and enforce the rights of the Company against the third parties to protect the interest of the Company Job Requirements:At least with a Bachelor’s degree in Law and a master’s degree is a plusAt least 3 years of working experience in the field of legal affairsAt least 2 year"
Legal Manager,"[('professional-services', 'legal-compliance')]",,,Salary provided,Full Time,"['Assisting Head of Legal to handle and complete any assignments which are related to media, information technology, and digital service business of the company and offshore affiliatedcompaniesProviding legal advice and opinion, legal research and update in all legal aspects on businessoperation and activities of the company and offshore affiliated companiesReviewing and drafting business contracts and legal documents relating to business of thecompany and offshore affiliated companiesWorking with International Business Development Team and Business Unit Teams in expansion and compliance of business abroadWorking with Country Head / Business Unit Head / International Business Development Head /Country Legal Manager / external legal counsel Ability to deliver high-quality work under tight deadlines and to work as a team in a crossfunctional environment']","[""s:Thai national At least Bachelor's Degree in Law with strong academic credentials At least 7 years of legal experience as an in-house lawyer with internationalbusiness/environment and/or in an international law firmStrong legal experience in corporate and commercial matters including drafting contracts andintellectual property lawsExperience on managing external legal counsels Experience in media, information technology, and digital service industry is a plusExcellent written and oral communication skills in English  ""]","Assisting Head of Legal to handle and complete any assignments which are related to media, information technology, and digital service business of the company and offshore affiliatedcompaniesProviding legal advice and opinion, legal research and update in all legal aspects on businessoperation and activities of the company and offshore affiliated companiesReviewing and drafting business contracts and legal documents relating to business of thecompany and offshore affiliated companiesWorking with International Business Development Team and Business Unit Teams in expansion and compliance of business abroadWorking with Country Head / Business Unit Head / International Business Development Head /Country Legal Manager / external legal counsel Ability to deliver high-quality work under tight deadlines and to work as a team in a crossfunctional environmentQualifications:Thai national At least Bachelor's Degree in Law with strong academic credentials At least 7 years of legal experience as an in-house lawyer with internationalbusiness/environment and/or in an international law firmStrong legal experience in corporate and commercial matters including drafting contracts andintellectual property lawsExperience on managing external legal counsels Experience in media, information technology, and digital service industry is a plusExcellent written and oral communication skills in English",,,False,False,7 year
Legal Manager for Merger & Acquisition,"[('professional-services', 'legal-compliance')]",,,Salary provided,Full Time,"['Job Description:Provides legal support in conjunction with Strategy & Corporate Development Team and Business Unit Teams for expansion of True Digital Group businesses via strategic investmentsResponsible for all legal aspects of True Digital Group’s investment and other strategic transactions from initial indication of interest, due diligence, negotiation, to execution of definitive documents, closing, and post-closing legal support.Responsible for reviewing, negotiating, conducting and overseeing due diligence, supervising external legal counsel, and drafting legal transactional documents (i.e. term sheet, LOI, share subscription agreement, share purchase agreement, shareholders’ agreement, strategic collaboration agreement) Providing clear and practical legal and commercial advice and opinion, legal research and update in all legal aspects of business operation, activities, and potential legal issuesReviewing and drafting business contracts and legal documents relating to the company business, as and when required']","[""s:Thai national At least Bachelor's Degree in Law from an accredited university with strong academic credentialsAt least 7 years of legal experience as an in-house lawyer with international business/environment and/or in an international law firm and adept in handling domestic and cross-border transaction on the buy-side in private transactionsAt least [5] years of experience with mergers and acquisitions transactions or venture capital investments, substantial drafting experience, be able to lead closings and handle diligence for deals.Strong legal experience in corporate and commercial matters Experience in media, information technology, and digital service industry is a plusAbility to deliver high-quality work under deadlines and time pressure Superior organizational skills, including ability to manage multiple, complex projects simultaneouslyExcellent collaboration skills working as a team in a cross-functional environmentStrong written and verbal communication skills in English  ""]","Job Description:Provides legal support in conjunction with Strategy & Corporate Development Team and Business Unit Teams for expansion of True Digital Group businesses via strategic investmentsResponsible for all legal aspects of True Digital Group’s investment and other strategic transactions from initial indication of interest, due diligence, negotiation, to execution of definitive documents, closing, and post-closing legal support.Responsible for reviewing, negotiating, conducting and overseeing due diligence, supervising external legal counsel, and drafting legal transactional documents (i.e. term sheet, LOI, share subscription agreement, share purchase agreement, shareholders’ agreement, strategic collaboration agreement) Providing clear and practical legal and commercial advice and opinion, legal research and update in all legal aspects of business operation, activities, and potential legal issuesReviewing and drafting business contracts and legal documents relating to the company business, as and when requiredQualifications:Thai national At least Bachelor's Degree in Law from an accredited university with strong academic credentialsAt least 7 years of legal experience as an in-house lawyer with international business/environment and/or in an international law firm and adept in handling domestic and cross-border transaction on the buy-side in private transactionsAt least [5] years of experience with mergers and acquisitions transactions or venture capital investments, substantial drafting experience, be able to lead closings and handle diligence for deals.Strong legal experience in corporate and commercial matters Experience in media, information technology, and digital service industry is a plusAbility to deliver high-quality work under deadlines and time pressure Superior organizational skills, including ability to manage multiple, complex projects simultaneouslyExcellent collaboration skills working as a team in a cross-functional environmentStrong written and verbal communication skills in English",,,False,False,7 years of legal experience as an in-house lawyer with international business/environment and/or in an international law firm and adept in handling domestic and cross-border transaction on the buy-side in private transactionsAt least [5] year
Lawyer,"[('professional-services', 'business-consultancy'), ('professional-services', 'legal-compliance')]",,,THB70000 - 120000 /month,"Full Time, Permanent",[],[],"Responsibility:Responsible for civil cases - criminal casesPreparation of cases and related documentsCoordinate with parties and related agenciesPreparing, drafting and reviewing agreements/contracts and all legal documents in both Thai and English to ensure its legal and corporate governance compliance. Providing legal advisory services to support the business. Undertaking research and guidance on all kinds of legal matters.Other task as assignedRequirements:Thai nationality, age between 35 - 40 years oldBarrister (Lawyer's Licence) is a mustBachelor's Degree or higher in LawMinimum 5 years expereince in Lawyer, Legal Officer and LitigationWork experienced in Both civil and criminal casesAble to use Microsoft Office very wellWork experience in Drafting business contracts and General contractResponsible, diligent, hardworking, honest, patient, punctual, able to work under pressureAble to travel upcountryGood command of EnglishInterested candidate, please send your resume in Englishalong with your recent photo and expected salary to usEPS Consultants Recruitment LTD.Unit 1704, Level 17, 540 Mercury Tower,Ploenchit Road, Lumphini, Pathumwan,Bangkok 10330 ThailandTel: +66 2105 4633 ext.680Website:www.eps.in.th",70000,120000,False,False,35 - 40 years oldBarrister (Lawyer's Licence) is a mustBachelor's Degree or higher in LawMinimum 5 year
Business Strategy Consultant (Japanese Speaking up to 150k),"[('professional-services', 'business-consultancy'), ('management', 'general-management')]",,,THB70000 - 160000 /month (negotiable),Permanent,"['Our client is a Japanese start-up company, real estate consulting and development is now, looking for an experience candidate as the detail below.Position:  Business Strategy ConsultantSalary:        up to 150kLocation:      BTS&MRT']","[':Thai Nationality, Male & FemaleAble to analyse data or planning strategyExcellent in Japanese (JLPT N2 up) and EnglishExperience in consulting is an advantageJob detail:To plan implement new projects or process to develop for client.Conducting business reviews to ensure clients are satisfied with their products and services.Attending meetings with clients to build relationships with existing accounts.Monitoring company performance against service level agreements and flagging potential issues.Passing leads to the developer and following up on progress.Liaising with internal departments to ensure client needs are fulfilled effectively.Interested candidate, please send your resume in English along with your expected salary andrecent phototo us by E-mail.JAC Personnel Recruitment Ltd.Emporium Tower, 10F / 6-7, 622 Soi Sukhumvit 24,Sukhumvit Road, Klongton, Klongtoey, Bangkok 10110Tel: 0-2261-1270Please contact:Khun Panupong ']","Our client is a Japanese start-up company, real estate consulting and development is now, looking for an experience candidate as the detail below.Position:  Business Strategy ConsultantSalary:        up to 150kLocation:      BTS&MRTQualification:Thai Nationality, Male & FemaleAble to analyse data or planning strategyExcellent in Japanese (JLPT N2 up) and EnglishExperience in consulting is an advantageJob detail:To plan implement new projects or process to develop for client.Conducting business reviews to ensure clients are satisfied with their products and services.Attending meetings with clients to build relationships with existing accounts.Monitoring company performance against service level agreements and flagging potential issues.Passing leads to the developer and following up on progress.Liaising with internal departments to ensure client needs are fulfilled effectively.Interested candidate, please send your resume in English along with your expected salary andrecent phototo us by E-mail.JAC Personnel Recruitment Ltd.Emporium Tower, 10F / 6-7, 622 Soi Sukhumvit 24,Sukhumvit Road, Klongton, Klongtoey, Bangkok 10110Tel: 0-2261-1270Please contact:Khun Panupong",70000,160000,False,True,
